datetime,line,station,enter_04_05,exit_04_05,enter_05_06,exit_05_06,enter_06_07,exit_06_07,enter_07_08,exit_07_08,enter_08_09,exit_08_09,enter_09_10,exit_09_10,enter_10_11,exit_10_11,enter_11_12,exit_11_12,enter_12_13,exit_12_13,enter_13_14,exit_13_14,enter_14_15,exit_14_15,enter_15_16,exit_15_16,enter_16_17,exit_16_17,enter_17_18,exit_17_18,enter_18_19,exit_18_19,enter_19_20,exit_19_20,enter_20_21,exit_20_21,enter_21_22,exit_21_22,enter_22_23,exit_22_23,enter_23_24,exit_23_24,enter_00_01,exit_00_01,enter_01_02,exit_01_02,enter_02_03,exit_02_03,enter_03_04,exit_03_04,updated,ID,gu_x,gu_y,gu
202009,6호선,연신내,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,3,0,0,0,1,0,3,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,20201003,6호선연신내,은평구,은평구,은평구
202009,6호선,월곡,15,1,5874,852,10649,3528,33338,6615,36482,20431,18500,11735,12300,8795,11275,8430,11259,10004,11534,10359,10999,10655,11099,12788,12259,15406,14571,19224,19417,33078,10188,27235,7370,14658,6053,13710,4381,9532,1720,6413,2,119,0,0,0,0,0,0,20201003,6호선월곡,성북구,성북구,성북구
202009,6호선,월드컵경기장,0,0,1092,1010,2221,2752,7086,4359,8853,7487,5240,6747,4652,7662,5619,9051,5820,9168,6503,10503,8144,11279,10429,10419,12617,8979,12782,8450,11811,10900,7395,8359,5041,4938,4575,3456,3566,2389,979,1307,0,103,0,0,0,0,0,0,20201003,6호선월드컵경기장,마포구,마포구,마포구
202009,6호선,응암,8,0,9885,1075,22032,4983,60159,8416,72133,15946,35455,10684,21027,10866,18745,11344,19496,13608,18971,14234,17324,16393,16916,20434,17126,25176,17674,34584,18196,62587,11415,52406,8858,31568,7257,25947,5337,19778,1837,12112,2,793,0,0,0,0,0,0,20201003,6호선응암,은평구,은평구,은평구
202009,6호선,이태원,2,0,2273,980,4074,5801,7700,9088,11252,20169,8552,15719,6418,11593,7132,9835,8118,10653,9221,12108,9485,11693,11793,12485,14833,14359,19005,16847,23792,20807,16863,16148,14041,9924,14769,8409,11171,5875,5480,3749,1,514,0,0,0,0,0,0,20201003,6호선이태원,용산구,용산구,용산구
202009,6호선,증산,12,1,6658,698,13089,3689,33410,4831,40969,8688,21416,5720,13003,6088,10821,6620,10796,7713,10852,8720,10047,9528,9641,12342,9975,14642,10640,19074,10508,36123,7043,29178,4903,16054,3818,15908,3065,11829,1053,6333,2,969,0,0,0,0,0,0,20201003,6호선증산,은평구,은평구,은평구
202009,6호선,창신,12,0,2257,437,4371,1626,11806,4467,13872,5879,7194,2522,3743,2004,3105,1865,3081,2240,3485,2401,2951,2502,3115,3141,4226,3540,4223,4736,4334,7905,2411,6783,2022,3813,1404,3758,1031,2917,415,1981,0,80,0,0,0,0,0,0,20201003,6호선창신,종로구,종로구,종로구
202009,6호선,청구,2,0,1378,456,2745,2207,6107,6383,7887,21230,4863,9238,3350,3834,3224,3199,3353,3272,3705,3580,3741,3301,3933,3909,5334,4148,6495,4990,11424,6466,7189,4482,4284,3017,3860,3062,2578,2452,963,1489,2,181,0,0,0,0,0,0,20201003,6호선청구,중구,중구,중구
202009,6호선,태릉입구,26,1,3768,773,5928,2569,15956,3286,17898,6941,8556,5233,5919,3939,5136,4250,5614,4701,5845,5461,5535,5559,5300,6503,5862,8046,6696,10546,7128,18865,4805,16416,3633,8505,3252,8424,2601,6181,1220,4665,1,816,0,0,0,0,0,0,20201003,6호선태릉입구,노원구,노원구,노원구
202009,6호선,한강진,1,0,434,543,1154,6825,2758,16537,4095,27993,3104,22052,2262,11385,2889,9639,3683,8655,4420,11622,5475,8571,8166,9063,14273,9195,19279,11443,25465,13782,18506,9236,13687,3013,15312,2390,12125,1731,2231,1187,1,746,0,0,0,0,0,0,20201003,6호선한강진,용산구,용산구,용산구
