20남,30남,40남,50남,6-70남,20여,30여,40여,50여,6-70여,총인원
0.08434555173295319,0.10968689776682977,0.11861410044540546,0.10809685899019085,0.09694016409850349,0.09544461875154266,0.09258489237577948,0.09603438119137221,0.09129822031764856,0.10695431432977436,96219.5
0.0780760968595205,0.11549860494568479,0.12161247266031323,0.1063859885350227,0.09603897330895726,0.09955944808058557,0.10244267592093653,0.09798980795910302,0.08963174299105524,0.09276418873882113,159446.0
0.09339989031383576,0.11431057392681816,0.11627738943948039,0.10272101480734662,0.08991639281112296,0.11170120751203415,0.09766631272469381,0.09395009310648242,0.08683570961007477,0.09322141574811073,111656.50000000003
0.1061374703297009,0.1019754069661188,0.10129148384811648,0.09651769466095897,0.09682969552569176,0.11082464081467006,0.0869804553967523,0.09292984214690099,0.09153922371880505,0.11497408659228482,51192.5
0.08289945145352613,0.11175322827651765,0.1208367501243134,0.10890478967204474,0.09566326055045031,0.09496371573030384,0.09408301368202387,0.09629080046212647,0.09043296833421326,0.10417202171448048,48755.99999999999
0.07838256134165714,0.11543101756560689,0.12127271208363884,0.10613927505314981,0.09609945843285653,0.10024435171913401,0.10256865309953427,0.09785107913065395,0.08953598486350008,0.09247490671026846,175942.0
0.09175877778216313,0.11513353778700428,0.1173641717771356,0.10319308439011324,0.08979232105076937,0.11108053960468875,0.09876246750254906,0.09449050903661717,0.08664102765365403,0.09178356341530536,102950.5
0.10613052287672385,0.10214684407015658,0.10141545180587704,0.09651957259049697,0.09662184324986292,0.11112570431381968,0.0871250730913046,0.0928420711732032,0.09143695603099833,0.11463596079755693,19632.0
0.07132791283137889,0.12603807541372028,0.1395838676493858,0.11862506785542395,0.08729375425966936,0.0849658583133331,0.10320316265383976,0.09284075530396205,0.08563654062705603,0.09048500509223074,303136.5
0.06785323554288566,0.12844767494401932,0.13933989937501254,0.11344970613130285,0.08140470059311171,0.08871115138243439,0.11094436766008754,0.09991690083173224,0.08993505663581403,0.07999730690359984,354037.49999999994
